iter	Logloss
0	0.6476751063
1	0.6155712041
2	0.5841444411
3	0.5531952804
4	0.5364376638
5	0.5189362974
6	0.5046284059
7	0.4897008115
8	0.4781767899
9	0.4668670846
10	0.4564017235
11	0.4473567795
12	0.4402140142
13	0.4322434836
14	0.4260165997
15	0.4214017637
16	0.4178669756
17	0.4142642494
18	0.410342099
19	0.4080601098
20	0.4010415093
21	0.3894055949
22	0.3851676487
23	0.3835894666
24	0.3819774187
25	0.3801950977
26	0.3769074888
27	0.3751407142
28	0.371004572
29	0.3693703992
30	0.3652569719
31	0.3638524848
32	0.3627612269
33	0.3588678979
34	0.3576902055
35	0.3566780957
36	0.3545464082
37	0.3532500085
38	0.3515334132
39	0.3506767085
40	0.3487487173
41	0.3478859357
42	0.346243975
43	0.3455413774
44	0.3440302189
45	0.3432834011
46	0.3399436954
47	0.3379181778
48	0.335764277
49	0.335228383
50	0.3343943637
51	0.3338660217
52	0.3332206833
53	0.3323420307
54	0.3317493201
55	0.3308291613
56	0.3292122754
57	0.3286314531
58	0.3281534378
59	0.3276923554
60	0.3271972892
61	0.3265487059
62	0.3261959469
63	0.3258009146
64	0.3252697996
65	0.3236989334
66	0.3225874682
67	0.3221460917
68	0.3217771078
69	0.3212565537
70	0.3209542689
71	0.3201319315
72	0.3197790545
73	0.3192880888
74	0.31898958
75	0.3181141134
76	0.3177761043
77	0.3173658501
78	0.316408846
79	0.3160472075
80	0.3156042675
81	0.3148248524
82	0.314446989
83	0.3141507517
84	0.3137578729
85	0.3125371108
86	0.311958501
87	0.3109712596
88	0.3102361238
89	0.3095952694
90	0.3089399601
91	0.3083346235
92	0.3076948606
93	0.3074749393
94	0.3064436546
95	0.3059691203
96	0.3048488346
97	0.3041897198
98	0.3037417943
99	0.3032017704
100	0.3025774949
101	0.3021663262
102	0.3016816734
103	0.301306701
104	0.300605549
105	0.3001306607
106	0.2996952431
107	0.2992010619
108	0.2988730237
109	0.2985071668
110	0.2979092642
111	0.297410658
112	0.2971090517
113	0.2964640673
114	0.2961377992
115	0.2955987192
116	0.2953421886
117	0.2949710807
118	0.2945276982
119	0.2940645803
120	0.2935685111
121	0.2930082798
122	0.2926651377
123	0.2922755629
124	0.2913818654
125	0.2908364135
126	0.29030934
127	0.2897473091
128	0.2893658763
129	0.289063975
130	0.2883455065
131	0.2880392688
132	0.2876798723
133	0.28737803
134	0.2871627107
135	0.2868171201
136	0.2864397878
137	0.2860295041
138	0.2855106315
139	0.2850683995
140	0.2845732153
141	0.2840293563
142	0.2835222837
143	0.2830840047
144	0.2823270389
145	0.2820651689
146	0.2817049464
147	0.2813082327
148	0.2807269974
149	0.2804126177
150	0.2801864425
151	0.2800255799
152	0.2796784849
153	0.2794303322
154	0.2791005536
155	0.2783326139
156	0.2780894468
157	0.2775547328
158	0.2772104698
159	0.2768421938
160	0.2764445656
161	0.2761298908
162	0.2758597609
163	0.2757185452
164	0.2753625412
165	0.2749288346
166	0.2746292638
167	0.2742754723
168	0.2738586101
169	0.2734737553
170	0.273075183
171	0.2727146951
172	0.2721381208
173	0.2719823322
174	0.2716097493
175	0.2712789382
176	0.2709330821
177	0.2705569592
178	0.2703732638
179	0.2701131637
180	0.269878227
181	0.2696597218
182	0.2692826254
183	0.2690557717
184	0.2687158746
185	0.2683941199
186	0.2681382383
187	0.2676499571
188	0.2673221254
189	0.2671213791
190	0.266684752
191	0.2663988691
192	0.2660035419
193	0.265722084
194	0.2653735729
195	0.2650357703
196	0.2646749579
197	0.2644561281
198	0.2642417528
199	0.2640577328
