iter	Passed	Remaining
0	172	34259
1	180	17841
2	186	12218
3	191	9369
4	196	7659
5	201	6524
6	207	5720
7	215	5177
8	223	4735
9	228	4339
10	233	4011
11	239	3751
12	246	3541
13	252	3351
14	256	3165
15	263	3027
16	269	2902
17	275	2780
18	280	2675
19	285	2570
20	290	2476
21	296	2396
22	301	2317
23	305	2243
24	312	2184
25	317	2123
26	321	2058
27	327	2011
28	332	1959
29	336	1907
30	342	1867
31	347	1826
32	352	1785
33	359	1753
34	365	1722
35	370	1688
36	378	1665
37	382	1631
38	387	1601
39	394	1576
40	398	1547
41	403	1517
42	409	1494
43	414	1468
44	418	1443
45	425	1423
46	429	1399
47	434	1376
48	440	1357
49	445	1335
50	449	1314
51	455	1296
52	459	1275
53	464	1255
54	469	1237
55	474	1220
56	479	1203
57	484	1185
58	489	1170
59	494	1154
60	499	1138
61	505	1124
62	510	1110
63	515	1095
64	522	1084
65	526	1069
66	531	1054
67	537	1042
68	542	1029
69	546	1015
70	552	1003
71	557	991
72	562	978
73	567	967
74	572	953
75	577	941
76	582	930
77	588	919
78	592	907
79	597	896
80	603	886
81	608	875
82	612	863
83	619	855
84	624	844
85	628	832
86	634	823
87	639	813
88	644	803
89	649	793
90	653	782
91	658	772
92	664	764
93	668	754
94	673	744
95	678	734
96	683	726
97	688	716
98	693	707
99	698	698
100	703	689
101	707	680
102	713	671
103	719	663
104	723	654
105	728	646
106	734	638
107	739	629
108	744	621
109	752	615
110	758	608
111	765	601
112	770	593
113	776	585
114	782	578
115	789	571
116	795	564
117	801	557
118	806	549
119	813	542
120	818	534
121	822	526
122	828	518
123	833	510
124	837	502
125	841	494
126	846	486
127	850	478
128	855	470
129	860	463
130	865	455
131	869	447
132	873	440
133	879	433
134	883	425
135	888	418
136	894	411
137	898	403
138	902	396
139	907	388
140	912	381
141	916	374
142	921	367
143	926	360
144	931	353
145	935	345
146	940	338
147	944	331
148	948	324
149	953	317
150	958	311
151	962	304
152	967	297
153	971	290
154	976	283
155	980	276
156	985	269
157	990	263
158	995	256
159	1000	250
160	1004	243
161	1009	236
162	1013	230
163	1017	223
164	1023	217
165	1027	210
166	1032	204
167	1037	197
168	1043	191
169	1048	185
170	1053	178
171	1058	172
172	1063	166
173	1069	159
174	1075	153
175	1079	147
176	1084	140
177	1090	134
178	1095	128
179	1099	122
180	1105	115
181	1110	109
182	1115	103
183	1120	97
184	1125	91
185	1131	85
186	1137	79
187	1143	72
188	1149	66
189	1155	60
190	1160	54
191	1165	48
192	1172	42
193	1176	36
194	1182	30
195	1187	24
196	1193	18
197	1198	12
198	1203	6
199	1208	0
